pair_key,Drug_ID,Drug_Name,Food_Herb_ID,Food_Herb_Name,Type,paper_label,drug_item_text,prediction,prob_avoid,prob_no_known_interaction_in_selected_source,prob_use_caution
D00993__F00105,D00993,Ganaxolone,F00105,High-Fat Meal,Food,Use caution,ganaxolone [SEP] high-fat meal [SEP] food,No known interaction in selected source,2.0529794574209437e-05,0.6870392687289563,0.3129402014764697
D01072__F00105,D01072,Lurasidone,F00105,High-Fat Meal,Food,Use caution,lurasidone [SEP] high-fat meal [SEP] food,No known interaction in selected source,2.0529794574209437e-05,0.6870392687289563,0.3129402014764697
D00597__H00162,D00597,Atorvastatin,H00162,Coffee,Herb,Use caution,atorvastatin [SEP] coffee [SEP] herb,No known interaction in selected source,0.018140911005987012,0.8128951739229203,0.16896391507109254
D00972__F00105,D00972,Everolimus,F00105,High-Fat Meal,Food,Use caution,everolimus [SEP] high-fat meal [SEP] food,No known interaction in selected source,0.28161900596680384,0.6205777937381111,0.09780320029508516
D01173__F00105,D01173,Icotinib,F00105,High-Fat Meal,Food,Use caution,icotinib [SEP] high-fat meal [SEP] food,No known interaction in selected source,2.0529794574209437e-05,0.6870392687289563,0.3129402014764697
D00597__H00567,D00597,Atorvastatin,H00567,Herba Ephedrae,Herb,Use caution,atorvastatin [SEP] herba ephedrae [SEP] herb,No known interaction in selected source,0.014841344253943308,0.7486908767417964,0.23646777900426028
D01132__F00105,D01132,Vismodegib,F00105,High-Fat Meal,Food,Use caution,vismodegib [SEP] high-fat meal [SEP] food,No known interaction in selected source,0.00011407061577275357,0.8455953968861433,0.1542905324980841
D01278__F00105,D01278,Omaveloxolone,F00105,High-Fat Meal,Food,Use caution,omaveloxolone [SEP] high-fat meal [SEP] food,No known interaction in selected source,2.0529794574209437e-05,0.6870392687289563,0.3129402014764697
D00365__F00105,D00365,Ticlopidine,F00105,High-Fat Meal,Food,Use caution,ticlopidine [SEP] high-fat meal [SEP] food,No known interaction in selected source,2.0529794574209437e-05,0.6870392687289563,0.3129402014764697
D00976__F00105,D00976,Rilpivirine,F00105,High-Fat Meal,Food,Use caution,rilpivirine [SEP] high-fat meal [SEP] food,No known interaction in selected source,0.00010969214706264636,0.652326616563128,0.34756369128980946
D00716__F00105,D00716,Lactitol,F00105,High-Fat Meal,Food,Use caution,lactitol [SEP] high-fat meal [SEP] food,No known interaction in selected source,2.0529794574209437e-05,0.6870392687289563,0.3129402014764697
D00586__F00105,D00586,Exemestane,F00105,High-Fat Meal,Food,Use caution,exemestane [SEP] high-fat meal [SEP] food,No known interaction in selected source,2.0529794574209437e-05,0.6870392687289563,0.3129402014764697
D00422__F00105,D00422,Cysteamine,F00105,High-Fat Meal,Food,Use caution,cysteamine [SEP] high-fat meal [SEP] food,No known interaction in selected source,2.0529794574209437e-05,0.6870392687289563,0.3129402014764697
D00321__F00105,D00321,Propafenone,F00105,High-Fat Meal,Food,Use caution,propafenone [SEP] high-fat meal [SEP] food,No known interaction in selected source,2.0529794574209437e-05,0.6870392687289563,0.3129402014764697
D00282__F00105,D00282,Guanfacine,F00105,High-Fat Meal,Food,Use caution,guanfacine [SEP] high-fat meal [SEP] food,No known interaction in selected source,2.0529794574209437e-05,0.6870392687289563,0.3129402014764697
D00597__H00088,D00597,Atorvastatin,H00088,herba Menthae,Herb,Use caution,atorvastatin [SEP] herba menthae [SEP] herb,No known interaction in selected source,0.012595691104576064,0.8171980893134675,0.1702062195819564
D00331__F00105,D00331,Raloxifene,F00105,High-Fat Meal,Food,Use caution,raloxifene [SEP] high-fat meal [SEP] food,No known interaction in selected source,2.0529794574209437e-05,0.6870392687289563,0.3129402014764697
D00684__F00105,D00684,Desloratadine,F00105,High-Fat Meal,Food,Use caution,desloratadine [SEP] high-fat meal [SEP] food,No known interaction in selected source,0.00011598314048793455,0.8759765876673566,0.12390742919215547
D00187__F00103,D00187,Ibuprofen,F00103,Alcohol,Food,Use caution,ibuprofen [SEP] alcohol [SEP] food,No known interaction in selected source,0.00022830696038471227,0.9705532331500603,0.029218459889555015
D01269__F00105,D01269,Selinexor,F00105,High-Fat Meal,Food,Use caution,selinexor [SEP] high-fat meal [SEP] food,No known interaction in selected source,2.0529794574209437e-05,0.6870392687289563,0.3129402014764697
D00785__F00105,D00785,Pretomanid,F00105,High-Fat Meal,Food,Use caution,pretomanid [SEP] high-fat meal [SEP] food,No known interaction in selected source,2.0529794574209437e-05,0.6870392687289563,0.3129402014764697
D00673__F00105,D00673,Paliperidone,F00105,High-Fat Meal,Food,Use caution,paliperidone [SEP] high-fat meal [SEP] food,No known interaction in selected source,2.0529794574209437e-05,0.6870392687289563,0.3129402014764697
D00681__F00105,D00681,Piperaquine,F00105,High-Fat Meal,Food,Use caution,piperaquine [SEP] high-fat meal [SEP] food,No known interaction in selected source,2.0529794574209437e-05,0.6870392687289563,0.3129402014764697
D01391__F00105,D01391,Pibrentasvir,F00105,High-Fat Meal,Food,Use caution,pibrentasvir [SEP] high-fat meal [SEP] food,No known interaction in selected source,2.0529794574209437e-05,0.6870392687289563,0.3129402014764697
D01494__F00105,D01494,Nirmatrelvir,F00105,High-Fat Meal,Food,Use caution,nirmatrelvir [SEP] high-fat meal [SEP] food,No known interaction in selected source,2.0529794574209437e-05,0.6870392687289563,0.3129402014764697
D01074__F00105,D01074,Eluxadoline,F00105,High-Fat Meal,Food,Use caution,eluxadoline [SEP] high-fat meal [SEP] food,No known interaction in selected source,2.0529794574209437e-05,0.6870392687289563,0.3129402014764697
D00291__H00877,D00291,Phenacetin,H00877,Folium Evodiae rutaecarpae,Herb,Use caution,phenacetin [SEP] folium evodiae rutaecarpae [SEP] herb,No known interaction in selected source,0.0008883459030409038,0.6428834699900323,0.3562281841069268
D00844__F00105,D00844,Orlistat,F00105,High-Fat Meal,Food,Use caution,orlistat [SEP] high-fat meal [SEP] food,No known interaction in selected source,2.0529794574209437e-05,0.6870392687289563,0.3129402014764697
D00745__F00105,D00745,Lenalidomide,F00105,High-Fat Meal,Food,Use caution,lenalidomide [SEP] high-fat meal [SEP] food,No known interaction in selected source,2.0529794574209437e-05,0.6870392687289563,0.3129402014764697
D00069__H00057,D00069,Caffeine,H00057,Radix Angelicae Dahuricae,Herb,Use caution,caffeine [SEP] radix angelicae dahuricae [SEP] herb,No known interaction in selected source,0.0027279853087161655,0.9733109668236225,0.023961047867661445
D00271__F00162,D00271,Omeprazole,F00162,Grapefruit,Food,Use caution,omeprazole [SEP] grapefruit [SEP] food,No known interaction in selected source,0.009394146213163678,0.8642189440792496,0.12638690970758681
D00664__F00105,D00664,Droxidopa,F00105,High-Fat Meal,Food,Use caution,droxidopa [SEP] high-fat meal [SEP] food,No known interaction in selected source,2.0529794574209437e-05,0.6870392687289563,0.3129402014764697
