pair_key,Drug_ID,Drug_Name,drug_name_norm,Food_Herb_ID,Food_Herb_Name,food_herb_name_norm,Type,type_norm,Component,Dose,Time,Relationship_classification,relationship_sources,Experimental_Species,Experimental_Design,Experimental_Individuals_Number,Test_Method,Test_Sample,Potential_Target,Target_ID,has_pmid,has_doi,has_result_text,has_conclusion_text,has_reference,evidence_row_count,n_effects,n_paper_labels,pmid_count,doi_count,has_effect_conflict,has_label_conflict,paper_label,drug_item_text,label_id
D00453__F00032,D00453,Ferrous Gluconate,ferrous gluconate,F00032,Shiitake,shiitake,Food,food,Vitamin C,,,Drugbank,Drugbank,,,,,,,,0,0,1,1,1,1,1,1,1,1,0,0,Use caution,ferrous gluconate [SEP] shiitake [SEP] food,1
D00894__H00765,D00894,Cyclosporine,cyclosporine,H00765,Ampelopsis brevipedunculata,ampelopsis brevipedunculata,Herb,herb,Quercetin,50 mg/kg,,HFDI,HFDI,Rat,,6/group,Specific monoclonal fluorescence polarization immunoassay,Blood,CYP3A; P-gp,P08684; Q2M3G0,1,1,1,1,1,5,1,1,5,5,0,0,Use caution,cyclosporine [SEP] ampelopsis brevipedunculata [SEP] herb,1
D00797__F00104,D00797,Monopotassium Phosphate,monopotassium phosphate,F00104,Meal,meal,Food,food,,,,Drugbank,Drugbank,,,,,,,,0,0,1,1,1,1,1,1,1,1,0,0,Use caution,monopotassium phosphate [SEP] meal [SEP] food,1
D00078__H00977,D00078,Carvedilol,carvedilol,H00977,Rhododendron mucronulatum,rhododendron mucronulatum,Herb,herb,Myricetin,"0.3, 1.5, 6 mg/kg",,HFDI,HFDI,Rat,,6/group,HPLC,Plasma,CYP2C9; CYP2D6; P-gp,P11712; P10635; Q2M3G0,1,1,1,1,1,1,1,1,1,1,0,0,Use caution,carvedilol [SEP] rhododendron mucronulatum [SEP] herb,1
D00187__H00676,D00187,Ibuprofen,ibuprofen,H00676,Camellia sinensis var. assamica,camellia sinensis var assamica,Herb,herb,Caffeine,100 mg,,HFDI,HFDI,Homo Sapiens,"Open-label, Randomised, Single-dose, Three-period Crossover Study",36,LC-MS/MS,Plasma,,,1,1,1,1,1,1,1,1,1,1,0,0,No known interaction in selected source,ibuprofen [SEP] camellia sinensis var assamica [SEP] herb,2
D01104__F00105,D01104,Brexpiprazole,brexpiprazole,F00105,High-Fat Meal,high-fat meal,Food,food,,,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,,,,,,,,0,0,1,1,1,1,1,1,1,1,0,0,No known interaction in selected source,brexpiprazole [SEP] high-fat meal [SEP] food,2
D00531__H00036,D00531,Doxorubicin,doxorubicin,H00036,Herba Patriniae,herba patriniae,Herb,herb,Luteolin,10 µM,,HFDI,HFDI,Homo Sapiens,MCF-7 human breast cancer cell,,Alamar Blue assay,Cell viability,Bcl-2,P10415,1,1,1,1,1,2,1,1,2,2,0,0,Use caution,doxorubicin [SEP] herba patriniae [SEP] herb,1
D00213__H00401,D00213,Losartan,losartan,H00401,Testa Arachidis Hypogaeae,testa arachidis hypogaeae,Herb,herb,Quercetin,20 mg/kg,Administration after 7 days of pretreatment,HFDI,HFDI,Rat,,6/group,LC-MS,Plasma,CYP; P-gp,NA; Q2M3G0,1,1,1,1,1,1,1,1,1,1,0,0,Use caution,losartan [SEP] testa arachidis hypogaeae [SEP] herb,1
D00850__H00912,D00850,Dasatinib,dasatinib,H00912,Herba Elsholtziae,herba elsholtziae,Herb,herb,Apigenin,40 mg/kg,,HFDI,HFDI,Rat,,6/group,UPLC-MS/MS,Plasma,CYP3A2; Pgp-MDR1; BCPR/ABCG2,NA; P08183; Q9UNQ0,1,1,1,1,1,1,1,1,1,1,0,0,Use caution,dasatinib [SEP] herba elsholtziae [SEP] herb,1
D00542__H00864,D00542,Paclitaxel,paclitaxel,H00864,Fructus Mume,fructus mume,Herb,herb,Genistein,"3.3, 10 mg/kg",,HFDI,HFDI,Rat,,6/group,HPLC,Plasma,CYP3A4; CYP2C8,P08684; P10632,1,1,1,1,1,3,1,1,3,3,0,0,Use caution,paclitaxel [SEP] fructus mume [SEP] herb,1
D00936__H00367,D00936,Lisinopril,lisinopril,H00367,Capsicum Frutescens,capsicum frutescens,Herb,herb,,,,FDI-Package Insert,FDI-Package Insert,,,,,,,,0,0,1,1,1,1,1,1,1,1,0,0,Use caution,lisinopril [SEP] capsicum frutescens [SEP] herb,1
D00022__F00262,D00022,Acetohydroxamic Acid,acetohydroxamic acid,F00262,Duck blood,duck blood,Food,food,Iron,,,Drugbank,Drugbank,,,,,,,,0,0,1,1,1,1,1,1,1,1,0,0,Use caution,acetohydroxamic acid [SEP] duck blood [SEP] food,1
D00472__H00867,D00472,Lithium Carbonate,lithium carbonate,H00867,Flos Firmianae plantanifoliae,flos firmianae plantanifoliae,Herb,herb,Caffeine,,,Drugbank,Drugbank,,,,,,,,0,0,1,1,1,1,1,1,1,1,0,0,Use caution,lithium carbonate [SEP] flos firmianae plantanifoliae [SEP] herb,1
D00531__H00025,D00531,Doxorubicin,doxorubicin,H00025,Semen Ginkgo,semen ginkgo,Herb,herb,Quercetin,"3, 15 mg/kg",,HFDI,HFDI,Rat,,6/group,HPLC,Plasma,CYP3A; P-gp,P08684; Q2M3G0,1,1,1,1,1,1,1,1,1,1,0,0,Use caution,doxorubicin [SEP] semen ginkgo [SEP] herb,1
D00799__F00032,D00799,Chromium Picolinate,chromium picolinate,F00032,Shiitake,shiitake,Food,food,Vitamin C,,,Drugbank,Drugbank,,,,,,,,0,0,1,1,1,1,1,1,1,1,0,0,Use caution,chromium picolinate [SEP] shiitake [SEP] food,1
D01394__F00033,D01394,Alteplase,alteplase,F00033,Ginger,ginger,Food,food,,,,FDI-Package Insert,FDI-Package Insert,,,,,,,,0,0,1,1,1,1,1,1,1,1,0,0,Use caution,alteplase [SEP] ginger [SEP] food,1
D00329__H00467,D00329,Quetiapine,quetiapine,H00467,Craibiodendron yunnanese,craibiodendron yunnanese,Herb,herb,Quercetin,10 mg/kg/d,Administration after 7 days of pretreatment,HFDI,HFDI,Rat,,6/group,LC-MS/MS,Plasma,CYP3A4; P-gp,P08684; Q2M3G0,1,1,1,1,1,1,1,1,1,1,0,0,Use caution,quetiapine [SEP] craibiodendron yunnanese [SEP] herb,1
D00829__H00182,D00829,Tamoxifen,tamoxifen,H00182,Radix Salviae liguliobae,radix salviae liguliobae,Herb,herb,Kaempferol,10 mg/kg,,HFDI,HFDI,Rat,,6/group,HPLC,Plasma,CYP3A; P-gp,P08684; Q2M3G0,1,1,1,1,1,2,1,1,2,2,0,0,Use caution,tamoxifen [SEP] radix salviae liguliobae [SEP] herb,1
D00387__H00180,D00387,Venlafaxine,venlafaxine,H00180,Semen Sojae Praeparata,semen sojae praeparata,Herb,herb,Apigenin,250 mg/kg,,HFDI,HFDI,Rat,,5/group,HPLC,Plasma,,,1,1,1,1,1,1,1,1,1,1,0,0,Use caution,venlafaxine [SEP] semen sojae praeparata [SEP] herb,1
D00472__H00802,D00472,Lithium Carbonate,lithium carbonate,H00802,Cola acuminata,cola acuminata,Herb,herb,Caffeine,,,Drugbank,Drugbank,,,,,,,,0,0,1,1,1,1,1,1,1,1,0,0,Use caution,lithium carbonate [SEP] cola acuminata [SEP] herb,1
D01036__F00245,D01036,Rivaroxaban,rivaroxaban,F00245,Coconut oil,coconut oil,Food,food,Vitamin E,,,HFDI,HFDI,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,0,Use caution,rivaroxaban [SEP] coconut oil [SEP] food,1
D00213__H00659,D00213,Losartan,losartan,H00659,nodus nelumbinis rhizomatis,nodus nelumbinis rhizomatis,Herb,herb,Berberine,300 mg,Administration after 2 weeks of pretreatment,HFDI,HFDI,Homo Sapiens,Two-phase randomized-crossover clinical study,18,,Urine,CYP2C9,P11712,1,1,1,1,1,2,2,1,2,2,1,0,Use caution,losartan [SEP] nodus nelumbinis rhizomatis [SEP] herb,1
D00227__F00104,D00227,Meprobamate,meprobamate,F00104,Meal,meal,Food,food,,,,Drugbank,Drugbank,,,,,,,,0,0,1,1,1,1,1,1,1,1,0,0,No known interaction in selected source,meprobamate [SEP] meal [SEP] food,2
D00918__H00408,D00918,Spirapril,spirapril,H00408,Licorice,licorice,Herb,herb,,,,Drugbank,Drugbank,,,,,,,,0,0,1,1,1,1,1,1,1,1,0,0,Use caution,spirapril [SEP] licorice [SEP] herb,1
D00630__H00403,D00630,Talinolol,talinolol,H00403,Sophora japonica,sophora japonica,Herb,herb,Genistein,1000 mg,Administration after 14 days of pretreatment,HFDI,HFDI,Homo Sapiens,Two-phase randomized crossover study,18,LC-MS,Plasma,CYP3A; P-gp,B2R9K2; Q2M3G0,1,1,1,1,1,1,1,1,1,1,0,0,Use caution,talinolol [SEP] sophora japonica [SEP] herb,1
D00010__H00895,D00010,Melatonin,melatonin,H00895,coffee,coffee,Herb,herb,Caffeic Acid,15 mg/kg,Before dose,HFDI,HFDI,Rat,,6/group,LC-MS/MS,Plasma,CYP1A,Q53G23,1,1,1,1,1,1,1,1,1,1,0,0,Use caution,melatonin [SEP] coffee [SEP] herb,1
D01042__H00699,D01042,Tofacitinib,tofacitinib,H00699,Vatica rassak,vatica rassak,Herb,herb,Resveratrol,50 mg/kg,,HFDI,HFDI,Rat,,6/group,LC-MS/MS,Plasma,CYP3A4,P08684,1,1,1,1,1,1,1,1,1,1,0,0,Use caution,tofacitinib [SEP] vatica rassak [SEP] herb,1
D00597__H00015,D00597,Atorvastatin,atorvastatin,H00015,Fructus Anisi Stellati,fructus anisi stellati,Herb,herb,Quercetin,10 mg/kg,Single dose study and multiple dose study,HFDI,HFDI,Rat,,,HPLC,Plasma,,,1,0,1,1,1,2,1,1,2,2,0,0,No known interaction in selected source,atorvastatin [SEP] fructus anisi stellati [SEP] herb,2
D01042__H00838,D01042,Tofacitinib,tofacitinib,H00838,Rhizoma Smilacis Glabrae,rhizoma smilacis glabrae,Herb,herb,Naringenin,150 mg/kg/d,Administration after 14 days of pretreatment,HFDI,HFDI,Rat,,12,LC-MS/MS,Plasma,CYP3A4,P08684,1,1,1,1,1,2,1,1,2,2,0,0,Use caution,tofacitinib [SEP] rhizoma smilacis glabrae [SEP] herb,1
D00531__H00385,D00531,Doxorubicin,doxorubicin,H00385,Herba Visci,herba visci,Herb,herb,Luteolin,10 µM,,HFDI,HFDI,Homo Sapiens,MCF-7 human breast cancer cell,,Alamar Blue assay,Cell viability,Bcl-2,P10415,1,1,1,1,1,1,1,1,1,1,0,0,Use caution,doxorubicin [SEP] herba visci [SEP] herb,1
D00043__H00737,D00043,Aspirin,aspirin,H00737,Fructus Amomi,fructus amomi,Herb,herb,Vitamin C,,,HFDI,HFDI,Homo Sapiens,Human serum albumin,,"Voltammetry, infrared, three-dimensional fluorescence and circular dichroism (CD)",,,,1,1,1,1,1,1,1,1,1,1,0,0,Use caution,aspirin [SEP] fructus amomi [SEP] herb,1
D01217__H00495,D01217,Warfarin,warfarin,H00495,Radix Sophorae flavescentis,radix sophorae flavescentis,Herb,herb,Quercetin,12.75 mg/kg,"Once a day ,keep 5 days",HFDI,HFDI,Rat,,8/group,HPLC,Plasma,CYP2C8; CYP2C9; CYP3A4,P10632; P11712; P08684,1,1,1,1,1,3,1,1,3,3,0,0,Use caution,warfarin [SEP] radix sophorae flavescentis [SEP] herb,1
D00936__H00633,D00936,Lisinopril,lisinopril,H00633,Ephedra,ephedra,Herb,herb,Magnesium,,,FDI-Package Insert,FDI-Package Insert,,,,,,,,0,0,1,1,1,1,1,1,1,1,0,0,Use caution,lisinopril [SEP] ephedra [SEP] herb,1
D00601__H00785,D00601,Valsartan,valsartan,H00785,Diospyros kaki,diospyros kaki,Herb,herb,Quercetin,10 mg/kg,,HFDI,HFDI,Rat,,6/group,HPLC,Plasma,CYP3A4; P-gp,P08684; Q2M3G0,1,1,1,1,1,1,1,1,1,1,0,0,Use caution,valsartan [SEP] diospyros kaki [SEP] herb,1
D00291__H00881,D00291,Phenacetin,phenacetin,H00881,Stigma Croci,stigma croci,Herb,herb,Evodiamine,50 mg/kg,Administration after 7 days of pretreatment,HFDI,HFDI,Rat,,6/group,LC-MS/MS,Plasma,CYP1A2,P05177,1,1,1,1,1,1,1,1,1,1,0,0,Use caution,phenacetin [SEP] stigma croci [SEP] herb,1
D00511__H00690,D00511,Chromic Chloride,chromic chloride,H00690,Semen Euryales,semen euryales,Herb,herb,Vitamin C,,,Drugbank,Drugbank,,,,,,,,0,0,1,1,1,1,1,1,1,1,0,0,Use caution,chromic chloride [SEP] semen euryales [SEP] herb,1
D01198__H00952,D01198,Tucatinib,tucatinib,H00952,Syzygium samarangense,syzygium samarangense,Herb,herb,Quercetin,"25, 50, 100 mg/kg",,HFDI,HFDI,Rat,,6/group,LC-MS/MS,Plasma,CYP2C8,P10632,1,1,1,1,1,1,1,1,1,1,0,0,Use caution,tucatinib [SEP] syzygium samarangense [SEP] herb,1
D01249__F00105,D01249,Saroglitazar,saroglitazar,F00105,High-Fat Meal,high-fat meal,Food,food,Fasted Overnight,,30min after meal,Dietary effects,Dietary effects,Homo Sapiens,"Randomized, crossover, open",50,LC-MS/MS,Plasma,,,1,1,1,1,1,1,1,1,1,1,0,0,No known interaction in selected source,saroglitazar [SEP] high-fat meal [SEP] food,2
D00213__H00881,D00213,Losartan,losartan,H00881,Stigma Croci,stigma croci,Herb,herb,Quercetin,20 mg/kg,Administration after 7 days of pretreatment,HFDI,HFDI,Rat,,6/group,LC-MS,Plasma,CYP; P-gp,NA; Q2M3G0,1,1,1,1,1,1,1,1,1,1,0,0,Use caution,losartan [SEP] stigma croci [SEP] herb,1
D00027__H00366,D00027,Alprazolam,alprazolam,H00366,Red Clover,red clover,Herb,herb,,,Administration after 14 days of pretreatment,HFDI,HFDI,Homo Sapiens,Open label Phase I clinical trial,15,LC-MS/MS,Plasma,,,1,1,1,1,1,1,1,1,1,1,0,0,No known interaction in selected source,alprazolam [SEP] red clover [SEP] herb,2
D00090__H00405,D00090,Chlorzoxazone,chlorzoxazone,H00405,fructus Sophorae,fructus sophorae,Herb,herb,Quercetin,1000 mg,Administration after 10 days of pretreatment,HFDI,HFDI,Homo Sapiens,"Open-label, two-period, sequential study",12,HPLC,Plasma,CYP2E1,P05181,1,1,1,1,1,2,2,1,2,2,1,0,Use caution,chlorzoxazone [SEP] fructus sophorae [SEP] herb,1
D00597__H00740,D00597,Atorvastatin,atorvastatin,H00740,Helichrysum arenarium,helichrysum arenarium,Herb,herb,Naringenin,240 mg/kg,,HFDI,HFDI,Rat,,18,UPLC-MS/MS,Plasma,,,1,1,1,1,1,1,1,1,1,1,0,0,Use caution,atorvastatin [SEP] helichrysum arenarium [SEP] herb,1
D00583__H00544,D00583,Ranolazine,ranolazine,H00544,Aloe,aloe,Herb,herb,Quercetin,20 mg/kg,Single dose study,HFDI,HFDI,Rat,,6/group,HPLC,Plasma,CYP3A4; P-gp,P08684; Q2M3G0,1,1,1,1,1,2,1,1,2,2,0,0,Use caution,ranolazine [SEP] aloe [SEP] herb,1
D00770__H00079,D00770,Tacrolimus,tacrolimus,H00079,Flos Dolichoris,flos dolichoris,Herb,herb,Apigenin,,,HFDI,HFDI,Homo Sapiens,Case Report,1,,,CYP3A4; P-gp,P08684; Q2M3G0,1,1,1,1,1,1,1,1,1,1,0,0,Avoid,tacrolimus [SEP] flos dolichoris [SEP] herb,0
D00454__F00253,D00454,Ephedrine,ephedrine,F00253,Leaf of Chinese Holly,leaf of chinese holly,Food,food,Caffeine,,,HFDI,HFDI,,,,,,,,1,1,0,1,1,1,1,1,1,1,0,0,Use caution,ephedrine [SEP] leaf of chinese holly [SEP] food,1
D01174__F00019,D01174,Edoxaban,edoxaban,F00019,Grape,grape,Food,food,Resveratrol,,,HFDI,HFDI,,,,,,CYP1A1; CYP1A2; CYP3A4; CYP2C8; CYP2C9; CYP2C19; CYP2D6; P-gp; BCRP,Q0VHD5; P05177; P08684; P10632; P11712; P33261; P10635; Q2M3G0; Q9UNQ0,1,1,1,1,1,1,1,1,1,1,0,0,Use caution,edoxaban [SEP] grape [SEP] food,1
D00741__F00229,D00741,Dabigatran,dabigatran,F00229,Swamp cabbage,swamp cabbage,Food,food,Vitamin E,,,HFDI,HFDI,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,0,Use caution,dabigatran [SEP] swamp cabbage [SEP] food,1
D00420__H00629,D00420,Levodopa,levodopa,H00629,Actinidia polygama,actinidia polygama,Herb,herb,Caffeic Acid,"2.5, 5, 10 mg/kg",,HFDI,HFDI,Rabbit,,6/group,HPLC,Plasma,COMT,P21964,1,1,1,1,1,1,1,1,1,1,0,0,Use caution,levodopa [SEP] actinidia polygama [SEP] herb,1
D00542__H00001,D00542,Paclitaxel,paclitaxel,H00001,Acacia nilotica,acacia nilotica,Herb,herb,Quercetin,"2, 10, 20 mg/kg",,HFDI,HFDI,Rat,,8/group,HPLC,Plasma,,,1,1,1,1,1,1,1,1,1,1,0,0,Use caution,paclitaxel [SEP] acacia nilotica [SEP] herb,1
D00090__H00619,D00090,Chlorzoxazone,chlorzoxazone,H00619,Fructus Caryophylli,fructus caryophylli,Herb,herb,Quercetin,1000 mg,Administration after 10 days of pretreatment,HFDI,HFDI,Homo Sapiens,"Open-label, two-period, sequential study",12,HPLC,Plasma,CYP2E1,P05181,1,1,1,1,1,1,1,1,1,1,0,0,Use caution,chlorzoxazone [SEP] fructus caryophylli [SEP] herb,1
D00707__H00513,D00707,Clevidipine,clevidipine,H00513,radix tripterygii wilfordii,radix tripterygii wilfordii,Herb,herb,Baicalin,,,HFDI,HFDI,Homo Sapiens,Human serum albumin,,Multi-spectroscopic techniques and molecular docking method,correlations,,,1,1,1,1,1,1,1,1,1,1,0,0,Use caution,clevidipine [SEP] radix tripterygii wilfordii [SEP] herb,1
D00092__F00104,D00092,Cimetidine,cimetidine,F00104,Meal,meal,Food,food,,,,Drugbank,Drugbank,,,,,,,,0,0,1,1,1,1,1,1,1,1,0,0,Use caution,cimetidine [SEP] meal [SEP] food,1
D00551__H00179,D00551,Diltiazem,diltiazem,H00179,Gleditsiae Fructus,gleditsiae fructus,Herb,herb,Quercetin,"2, 10, 20 mg/kg",,HFDI,HFDI,Rabbit,,8/group,HPLC,Plasma,CYP3A4,P08684,1,1,1,1,1,1,1,1,1,1,0,0,Use caution,diltiazem [SEP] gleditsiae fructus [SEP] herb,1
D00551__H00701,D00551,Diltiazem,diltiazem,H00701,Herba Nerviliae,herba nerviliae,Herb,herb,Hesperidin,"5, 15 mg/kg",,HFDI,HFDI,Rat,,6/group,HPLC,Plasma,CYP3A; P-gp,P08684; Q2M3G0,1,1,1,1,1,1,1,1,1,1,0,0,Use caution,diltiazem [SEP] herba nerviliae [SEP] herb,1
D01244__H00318,D01244,Upadacitinib,upadacitinib,H00318,Hypericum perforatum,hypericum perforatum,Herb,herb,,,,FDI-Package Insert,FDI-Package Insert,,,,,,CYP3A,P08684,0,0,1,1,1,1,1,1,1,1,0,0,Use caution,upadacitinib [SEP] hypericum perforatum [SEP] herb,1
D00149__H00396,D00149,Fexofenadine,fexofenadine,H00396,Exocarpium Citri grandis,exocarpium citri grandis,Herb,herb,Naringin,1210 μM,,HFDI,HFDI,Homo Sapiens,"Single-dose, randomized, open, crossover clinical investigation",12,HPLC,Plasma,OATP1A2,P46721,1,1,1,1,1,1,1,1,1,1,0,0,Use caution,fexofenadine [SEP] exocarpium citri grandis [SEP] herb,1
D00070__H00912,D00070,Verapamil,verapamil,H00912,Herba Elsholtziae,herba elsholtziae,Herb,herb,Quercetin,15 mg/kg,,HFDI,HFDI,Rabbit,,6/group,HPLC,Plasma,,,1,1,1,1,1,1,1,1,1,1,0,0,Use caution,verapamil [SEP] herba elsholtziae [SEP] herb,1
